gap_id,Problem,GapToStrat_relatedness_score,strategy_id,General Solution Description ,TechToStrat_relevancy_score,technology_id,Technology,Cost Per Building Low ($),Cost Per Building High ($),Cost Estimation Logic
1,Lacking backup power,95,7,Backup Power for Critical Loads,90,15,Battery Energy Storage Systems (BESS),200000.00,450000.00,"Based on 100-200kWh system sized for critical loads (15-25% of building load) for 4-8 hours of backup. Includes inverters, BMS, and installation."
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,90,15,Battery Energy Storage Systems (BESS),350000.00,750000.00,Based on 200-400kWh system for HVAC and non-critical loads (30-50% of building load) for 4-6 hours. Includes power electronics and controls.
1,Lacking backup power,80,9,Critical Load UPS System,85,15,Battery Energy Storage Systems (BESS),100000.00,250000.00,"Sized for very critical loads only (10-15% of building) with 1-3 hour runtime. Includes UPS equipment, switchgear, and monitoring."
1,Lacking backup power,95,7,Backup Power for Critical Loads,85,16,Combined Heat and Power (CHP),300000.00,650000.00,"Based on 50-100kW CHP system sized for critical loads (15-25% of building). Includes generation equipment, heat recovery, and integration with critical circuits."
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,85,16,Combined Heat and Power (CHP),450000.00,950000.00,100-200kW CHP system sized for HVAC and non-critical loads (30-50% of building). Includes heat recovery for HVAC integration and electrical tie-ins.
1,Lacking backup power,90,11,Centralized Backup Power,90,16,Combined Heat and Power (CHP),650000.00,1400000.00,"200-400kW centralized CHP system to provide full building backup. Includes heat recovery, electrical distribution, and controls."
1,Lacking backup power,90,1,Backup Power Conversion to Dual-fuel,90,10,Combustion Turbines (CT),200000.00,450000.00,"Conversion of existing generators to dual-fuel capability. Includes fuel switching hardware, controls, and commissioning for 75-150kW system."
1,Lacking backup power,95,7,Backup Power for Critical Loads,90,10,Combustion Turbines (CT),250000.00,550000.00,"75-150kW CT sized for critical loads (15-25% of building). Includes installation, fuel system, exhaust, and integration with critical circuits."
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,90,10,Combustion Turbines (CT),400000.00,800000.00,"150-300kW CT sized for HVAC and non-critical loads (30-50% of building). Includes larger fuel system, noise mitigation, and load management."
1,Lacking backup power,90,11,Centralized Backup Power,90,10,Combustion Turbines (CT),600000.00,1300000.00,"250-500kW centralized CT to provide full building backup. Includes distribution infrastructure, synchronization equipment, and controls."
1,Lacking backup power,85,12,Centralized Dual-fuel Backup Power,90,10,Combustion Turbines (CT),700000.00,1500000.00,"Similar to centralized backup but with dual-fuel capability. Includes multiple fuel storage and delivery systems, automated switching, and enhanced controls."
1,Lacking backup power,95,7,Backup Power for Critical Loads,85,5,Fuel Cells,150000.00,350000.00,Based on 30-70kW system sized for critical loads only (15-25% of total building load). Includes installation and integration.
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,85,5,Fuel Cells,250000.00,500000.00,"Based on 70-150kW system sized for HVAC and non-critical loads (30-50% of building load). Includes installation, integration and controls."
1,Lacking backup power,90,11,Centralized Backup Power,80,5,Fuel Cells,400000.00,800000.00,Based on 100-300kW centralized system to cover full building load plus redundancy. Higher costs for integration with existing infrastructure.
1,Lacking backup power,95,7,Backup Power for Critical Loads,90,11,Generator Reliability,150000.00,400000.00,"Installation of reliable diesel/natural gas generator sized for critical loads (15-25% of building). Includes transfer switches, monitoring, and reliability enhancements."
1,Lacking backup power,90,11,Centralized Backup Power,85,11,Generator Reliability,350000.00,800000.00,"Centralized generator system with enhanced reliability features. Includes redundant starting systems, monitoring, and distribution infrastructure."
1,Lacking backup power,80,9,Critical Load UPS System,100,11,Generator Reliability,100000.00,250000.00,"UPS system paired with generator to ensure seamless transition for critical loads. Includes batteries, power conditioning, and monitoring."
1,Lacking backup power,95,7,Backup Power for Critical Loads,85,13,Nuclear Generators,1000000.00,3000000.00,"Building's share of small modular reactor (SMR) system sized for critical loads. Includes reactor module, containment, cooling systems, and grid connection. Costs vary significantly based on capacity sharing."
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,85,13,Nuclear Generators,1500000.00,4500000.00,Building's share of SMR system sized for broader load coverage including HVAC. Includes additional distribution infrastructure and controls.
1,Lacking backup power,90,11,Centralized Backup Power,85,13,Nuclear Generators,2500000.00,7000000.00,Building's share of centralized SMR providing complete backup. Includes comprehensive distribution systems and redundant safety systems.
1,Lacking backup power,80,9,Critical Load UPS System,90,14,Power Quality,150000.00,400000.00,"Advanced UPS system with power quality correction. Includes batteries, power conditioning, harmonics filtering, and voltage regulation."
1,Lacking backup power,90,1,Backup Power Conversion to Dual-fuel,95,2,Reciprocating Internal Combustion Engines (RICE),175000.00,400000.00,"Conversion of existing generators to dual-fuel capability. Includes fuel switching hardware, controls, and commissioning."
1,Lacking backup power,95,7,Backup Power for Critical Loads,90,2,Reciprocating Internal Combustion Engines (RICE),200000.00,450000.00,"75-150kW RICE generator for critical loads (15-25% of building). Includes installation, fuel system, and integration."
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,90,2,Reciprocating Internal Combustion Engines (RICE),300000.00,650000.00,150-300kW RICE generator for HVAC and non-critical loads (30-50% of building). Includes larger fuel system and controls.
1,Lacking backup power,90,11,Centralized Backup Power,85,2,Reciprocating Internal Combustion Engines (RICE),500000.00,1100000.00,250-500kW centralized RICE generator for full building backup. Includes distribution infrastructure and controls.
1,Lacking backup power,85,12,Centralized Dual-fuel Backup Power,95,2,Reciprocating Internal Combustion Engines (RICE),600000.00,1300000.00,"Centralized dual-fuel RICE generator. Includes multiple fuel systems, automated switching, and enhanced controls."
1,Lacking backup power,95,7,Backup Power for Critical Loads,75,3,Solar Photovoltaic (PV),200000.00,500000.00,"PV system (50-125kW) with battery storage sized for critical loads (15-25% of building). Includes panels, inverters, batteries, and integration. Costs vary based on roof space/capacity."
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,75,3,Solar Photovoltaic (PV),350000.00,800000.00,"Larger PV system (100-250kW) with battery storage for HVAC and non-critical loads (30-50% of building). Includes additional panels, larger battery bank, and controls."
1,Lacking backup power,95,7,Backup Power for Critical Loads,70,9,Wind Turbine Generators,350000.00,900000.00,"Small wind turbine system (50-100kW) with battery storage for critical loads. Includes turbine, tower, inverters, batteries, and controls."
1,Lacking backup power,85,8,Backup Power for Other Loads / HVAC,70,9,Wind Turbine Generators,550000.00,1400000.00,Larger wind system (100-250kW) with battery storage for broader load coverage. Includes larger/multiple turbines and expanded storage.
1,Lacking backup power,90,20,Portable Backup Power Generators,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
1,Lacking backup power,85,10,Portable Generator Quick-Connect,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
2,Lacking access to portable backup power,75,19,Backup Generator Refueling Logistics,80,10,Combustion Turbines (CT),100000.00,250000.00,"Infrastructure for portable CT connections, including pad, connection points, transfer switches, and fuel delivery arrangements."
2,Lacking access to portable backup power,75,19,Backup Generator Refueling Logistics,85,11,Generator Reliability,75000.00,200000.00,"Infrastructure for portable generator connections with enhanced reliability. Includes connection points, fuel logistics, and testing protocols."
2,Lacking access to portable backup power,75,19,Backup Generator Refueling Logistics,80,2,Reciprocating Internal Combustion Engines (RICE),75000.00,200000.00,"Infrastructure for portable RICE connections and refueling. Includes connection points, fuel delivery arrangements, and protocols."
2,Lacking access to portable backup power,95,20,Portable Backup Power Generators,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
2,Lacking access to portable backup power,85,10,Portable Generator Quick-Connect,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
3,Lacking generator quick-connect tie-in connection,95,10,Portable Generator Quick-Connect,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
3,Lacking generator quick-connect tie-in connection,85,152,Portable Generator Quick-Connect for Wells,NULL,NULL,No Relevant Matches,NULL,NULL,NULL
4,Generator requires adequate sizing / testing,85,15,Centralized Generator Full-Load Testing,85,10,Combustion Turbines (CT),125000.00,300000.00,"Load bank testing equipment for centralized CT, automated test protocols, monitoring systems, and reporting infrastructure."
4,Generator requires adequate sizing / testing,85,16,Centralized Generator Hard-Drop Testing,85,10,Combustion Turbines (CT),150000.00,350000.00,"Enhanced testing infrastructure for centralized CT including automatic transfer switches, monitoring, and reporting for sudden load acceptance testing."
4,Generator requires adequate sizing / testing,95,3,Generator Full-Load Testing,85,10,Combustion Turbines (CT),75000.00,200000.00,"Building-specific load bank equipment, testing protocols, and monitoring systems for distributed CTs."
4,Generator requires adequate sizing / testing,90,4,Generator Hard-Drop Testing,85,10,Combustion Turbines (CT),100000.00,250000.00,Enhanced building-specific testing infrastructure including specialized controls and monitoring for distributed CTs.
4,Generator requires adequate sizing / testing,90,2,Minimum Generator Loading,85,10,Combustion Turbines (CT),50000.00,150000.00,"Load management systems to ensure minimum loading on CTs. Includes artificial loads, controls, and monitoring equipment."
4,Generator requires adequate sizing / testing,85,15,Centralized Generator Full-Load Testing,95,11,Generator Reliability,100000.00,250000.00,"Load bank testing equipment for centralized generators, automated testing protocols, and documentation systems to verify reliability."
