S_ID,Strategy / Capability,Action,Description,Scale,Category,Category2,Strategy_Type,Adj_Weight,Strategy_Type2,R1A,R1B,R2A,R2B,R3A,R3B,R4A,R4B,R5A,R5B,Rcount,Rs
1,Backup Power Conversion to Dual-fuel (Building Level),Convert Existing Backup Power to Dual-fuel (Building Level),"Generators that can run on two or more fuel types (e.g., diesel, natural gas) have greater flexibility than single-fuel generators in providing backup power if the fuel supply is disrupted. The goal of this strategy is to ensure that generators covering critical building loads have the capability to use multiple fuel types. Note that Jet Propellant 8 (JP-8) is not considered a dual fuel for diesel because using JP-8 requires modifying fuel injectors and because the extended use of JP-8 requires modifying maintenance schedules.",Building,Backup Power,NULL,Dual-fuel,5,Dual-fuel,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
2,Minimum Generator Loading,Adjust Generator Size to Avoid Wet Stacking,"A generator is considered right-sized if it operates at between 30 and 70% rated capacity. Diesel generators that run below 30% load do not reach the required engine temperature to fully combust fuel, resulting in wet stacking (i.e., unburned fuel passes into the exhaust system). Wet stacking increases maintenance and can cause permanent engine damage. Adjusting generator size to avoid wet stacking helps ensure that generators have at least a 30% load at all times, which can be accomplished by replacing oversized generators with lower capacity generators, increasing the connected load, or using load banks. Generators that operate at over 70% rated capacity are considered undersized and are addressed in Strategy 7, Backup Power for Critical Loads.",Building,Backup Power,NULL,Generator Testing,3,Install Backup System,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
3,Generator Full-Load Testing (Building Level),Conduct Generator Full-Load Testing (Building Level),"Regularly testing generators at their full-load capacity identifies operational issues that may arise during an emergency, removes buildup from wet stacking, and extends the generator’s usable life. This strategy helps ensure that backup power generators are tested at their full capacity. Load banks may be required for full-load testing when the full-load capacity exceeds the connected load. This strategy applies to building-level generators.",Building,Backup Power,NULL,Generator Testing,3,Generator Testing,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
4,Generator Hard-Drop Testing (Building Level),Conduct Generator Hard-Drop Testing (Building Level),"During an outage or emergency, the backup power for a building should be reliable and function properly. Testing backup power by cutting utility power to a building can determine whether the power transfer systems work correctly and whether all critical loads are properly connected to the backup power. This strategy applies to building-level generators.",Building,Backup Power,NULL,Generator Testing,4,Generator Testing,NULL,NULL,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
5,Backup Power Systems in Secure Structure,Locate Backup Power Systems in Secure Structure,"Backup power systems may be subject to damage from physical threats, especially weather-related events, but must still be fully functional when required. Locating backup power systems within a secure structure helps protect them from physical threats. The definition of secure structure depends on local conditions, threats, and the system. This strategy relates to Strategy 24, Hardened Electrical Distribution Components.",Building,Backup Power,NULL,Infrastructure Hardening,3,Infrastructure Hardening,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,"R1B "
6,Generator Cold Weather Block Heater,Install Generator Cold Weather Block Heater,Generators may have fast-starting requirements but may not operate at full capacity in a cold climate. Block heaters help keep generators warm so they can start quickly in an outage.,Building,Backup Power,NULL,Infrastructure Hardening,1,Infrastructure Hardening,,NULL,NULL,1,NULL,NULL,NULL,1,NULL,NULL,3,"R1B R2B R4B "
7,Backup Power for Critical Loads (Building Level),Install Backup Power for Critical Loads (Building Level),"Uninterruptable critical infrastructure should have a reliable source of power even in unpredictable events. Backup systems ensure that supply failure will not compromise an uninterruptable critical asset/function. Generators that are undersized to serve critical loads should be addressed here rather than in Strategy 2, Minimum Generator Loading, because an undersized generator could be undersized because not all critical loads are connected. Critical loads are required to have backup power per AFMAN 32-1062. This strategy does not include UPS systems, which are captured in Strategy 9, Critical Load UPS System.",Building,Backup Power,NULL,Install Backup System,5,Install Backup System,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
8,Backup Power for Other Loads / HVAC (Building Level),Install Backup Power for Other Loads / HVAC (Building Level),"Backup power systems should be fully functional when required. Backup power for loads that are beyond the loads required in AFMAN 32-1062, which may include mission-specified loads, reduces mission degradation. For example, while sustaining HVAC loads may not be required, doing so may improve mission function.",Building,Backup Power,NULL,Install Backup System,3,Install Backup System,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
9,Critical Load UPS System (Building Level),Install/Upsize UPS System (Building Level),"Some critical loads, such as server racks, require uninterrupted power. The goal of this strategy is to install or upsize a UPS to adequately serve critical loads.",Building,Backup Power,NULL,Install Backup System,5,Install Backup System,,,NULL,NULL,NULL,1,NULL,1,NULL,NULL,2,"R3B R4B "
10,Portable Generator Quick-Connect (Building Level),Install Portable Backup Power Tie-in Connection (Building Level),"A quick-connect port connects mobile generators to mission-essential loads as designated by the installation. Even if a mission is not authorized for an Equipment Authorized Inventory Data (EAID) generator under AFMAN 32-1062, a facility can install a quick-connect to the switchboard, especially if the facility is being designed or renovated.",Building,Backup Power,NULL,Install Backup System,3,Install Backup System,,,NULL,1,NULL,1,NULL,NULL,NULL,NULL,3,"R2A R2B R3B "
11,Centralized Backup Power (District Level),Centralize Backup Power (District Level),"Backup power systems should be fully functional when required. Centralizing backup power systems at the district level helps realize improved operations and maintenance (O&M) and fuel efficiencies. An example is a cluster of buildings that all require backup power, and each one has significantly oversized and/or redundant generators. Note that centralized generators are typically designed to operate for longer runtimes than facility-level generators.",District,Backup Power,NULL,Centralized Systems,5,Centralized Systems,,,NULL,1,NULL,1,NULL,1,NULL,NULL,3,"R2B R3B R4B "
